,year,disease,cdc_link
35,2000,Lyme disease,https://ndc.services.cdc.gov/conditions/lyme-disease/
36,2000,Malaria,https://ndc.services.cdc.gov/conditions/malaria/
37,2000,Measles,https://ndc.services.cdc.gov/conditions/measles/
38,2000,Meningococcal disease,https://ndc.services.cdc.gov/conditions/meningococcal-disease/
39,2000,Mumps,https://ndc.services.cdc.gov/conditions/mumps/
40,2000,Pertussis,https://ndc.services.cdc.gov/conditions/pertussis/
41,2000,Plague,https://ndc.services.cdc.gov/conditions/plague/
42,2000,"Poliomyelitis, paralytic",https://ndc.services.cdc.gov/conditions/poliomyelitis-paralytic/
43,2000,Psittacosis,https://ndc.services.cdc.gov/conditions/psittacosis/
44,2000,Q fever,https://ndc.services.cdc.gov/conditions/q-fever/
45,2000,"Rabies, animal",https://ndc.services.cdc.gov/conditions/rabies-animal/
46,2000,"Rabies, human",https://ndc.services.cdc.gov/conditions/rabies-human/
47,2000,Rocky Mountain spotted fever,https://ndc.services.cdc.gov/conditions/rocky-mountain-spotted-fever/
48,2000,Rubella,https://ndc.services.cdc.gov/conditions/rubella/
49,2000,"Rubella, congenital syndrome",https://ndc.services.cdc.gov/conditions/rubella-congenital-syndrome/
50,2000,Salmonellosis,https://ndc.services.cdc.gov/conditions/salmonellosis/
51,2000,Shigellosis,https://ndc.services.cdc.gov/conditions/shigellosis/
52,2000,Streptococcal toxic shock syndrome,https://ndc.services.cdc.gov/conditions/streptococcal-toxic-shock-syndrome/
53,2000,"Streptococcus disease, invasive, Group A",https://ndc.services.cdc.gov/conditions/streptococcus-disease-invasive-group-a/
54,2000,"Streptococcus pneumoniae, drug-resistant invasive disease",https://ndc.services.cdc.gov/conditions/streptococcus-pneumoniae-drug-resistant-invasive-disease/
55,2000,"Streptococcus pneumoniae, invasive disease (child, <5 years)",https://ndc.services.cdc.gov/conditions/streptococcus-pneumoniae-invasive-disease-child/
56,2000,Syphilis,https://ndc.services.cdc.gov/conditions/syphilis/
57,2000,Neurosyphilis,https://ndc.services.cdc.gov/conditions/neurosyphilis/
58,2000,"Syphilis, congenital",https://ndc.services.cdc.gov/conditions/congenital-syphilis/
59,2000,"Syphilis, early latent",https://ndc.services.cdc.gov/conditions/syphilis-early-latent/
60,2000,"Syphilis, late latent",https://ndc.services.cdc.gov/conditions/syphilis-late-latent/
61,2000,"Syphilis, late, with clinical manifestations other than neurosyphilis",https://ndc.services.cdc.gov/conditions/syphilis-late-with-clinical-manifestations-other-than-neurosyphilis/
62,2000,"Syphilis, latent",https://ndc.services.cdc.gov/conditions/syphilis-latent/
63,2000,"Syphilis, latent unknown duration",https://ndc.services.cdc.gov/conditions/syphilis-latent-unknown-duration/
64,2000,"Syphilis, primary",https://ndc.services.cdc.gov/conditions/syphilis-primary/
65,2000,"Syphilis, secondary",https://ndc.services.cdc.gov/conditions/syphilis-secondary/
66,2000,Syphilitic stillbirth,https://ndc.services.cdc.gov/conditions/syphilitic-stillbirth/
67,2000,Tetanus,https://ndc.services.cdc.gov/conditions/tetanus/
68,2000,Toxic shock syndrome (other than streptococcal),https://ndc.services.cdc.gov/conditions/toxic-shock-syndrome-other-than-streptococcal/
69,2000,Trichinellosis,https://ndc.services.cdc.gov/conditions/trichinellosis/
70,2000,Tuberculosis,https://ndc.services.cdc.gov/conditions/tuberculosis/
71,2000,Tularemia,https://ndc.services.cdc.gov/conditions/tularemia/
72,2000,Typhoid fever,https://ndc.services.cdc.gov/conditions/typhoid-fever/
73,2000,Yellow fever,https://ndc.services.cdc.gov/conditions/yellow-fever/
74,2001,Acquired immunodeficiency syndrome,https://ndc.services.cdc.gov/conditions/acquired-immunodeficiency-syndrome/
75,2001,Anthrax,https://ndc.services.cdc.gov/conditions/anthrax/
76,2001,Arboviral encephalitis,https://ndc.services.cdc.gov/conditions/arboviral-encephalitis/
77,2001,California serogroup encephalitis,https://ndc.services.cdc.gov/conditions/california-serogroup-encephalitis/
78,2001,Eastern equine encephalitis,https://ndc.services.cdc.gov/conditions/eastern-equine-encephalitis/
79,2001,St. Louis encephalitis,https://ndc.services.cdc.gov/conditions/st-louis-encephalitis/
80,2001,Western equine encephalitis,https://ndc.services.cdc.gov/conditions/western-equine-encephalitis/
81,2001,Botulism,https://ndc.services.cdc.gov/conditions/botulism/
82,2001,"Botulism, foodborne",https://ndc.services.cdc.gov/conditions/botulism-foodborne/
83,2001,"Botulism, infant",https://ndc.services.cdc.gov/conditions/botulism-infant/
84,2001,"Botulism, other",https://ndc.services.cdc.gov/conditions/botulism-other/
85,2001,"Botulism, wound",https://ndc.services.cdc.gov/conditions/botulism-wound/
86,2001,Brucellosis,https://ndc.services.cdc.gov/conditions/brucellosis/
87,2001,Chancroid,https://ndc.services.cdc.gov/conditions/chancroid/
88,2001,"Chlamydia trachomatis, genital infections",https://ndc.services.cdc.gov/conditions/chlamydia-trachomatis-genital-infections/
89,2001,Cholera,https://ndc.services.cdc.gov/conditions/cholera/
90,2001,Coccidioidomycosis,https://ndc.services.cdc.gov/conditions/coccidioidomycosis/
91,2001,Cryptosporidiosis,https://ndc.services.cdc.gov/conditions/cryptosporidiosis/
92,2001,Cyclosporiasis,https://ndc.services.cdc.gov/conditions/cyclosporiasis/
93,2001,Diphtheria,https://ndc.services.cdc.gov/conditions/diphtheria/
94,2001,Ehrlichiosis,https://ndc.services.cdc.gov/conditions/ehrlichiosis/
95,2001,Human granulocytic ehrlichiosis,https://ndc.services.cdc.gov/conditions/human-granulocytic-ehrlichiosis/
96,2001,Human monocytic ehrlichiosis,https://ndc.services.cdc.gov/conditions/human-monocytic-ehrlichiosis/
97,2001,Other or unspecified human ehrlichiosis,https://ndc.services.cdc.gov/conditions/other-or-unspecified-human-ehrlichiosis/
98,2001,Enterohemorrhagic Escherichia coli,https://ndc.services.cdc.gov/conditions/enterohemorrhagic-escherichia-coli/
99,2001,Gonorrhea,https://ndc.services.cdc.gov/conditions/gonorrhea/
100,2001,"Haemophilus influenzae, invasive disease",https://ndc.services.cdc.gov/conditions/haemophilus-influenzae-invasive-disease/
101,2001,Hansen's disease,https://ndc.services.cdc.gov/conditions/hansens-disease/
102,2001,Hantavirus pulmonary syndrome,https://ndc.services.cdc.gov/conditions/hantavirus-pulmonary-syndrome/
103,2001,"Hemolytic uremic syndrome, post-diarrheal",https://ndc.services.cdc.gov/conditions/hemolytic-uremic-syndrome-post-diarrheal/
104,2001,"Hepatitis A, acute",https://ndc.services.cdc.gov/conditions/hepatitis-a-acute/
105,2001,"Hepatitis B, acute",https://ndc.services.cdc.gov/conditions/hepatitis-b-acute-historical-version/
106,2001,"Hepatitis B, perinatal infection",https://ndc.services.cdc.gov/conditions/hepatitis-b-perinatal-virus-infection/
107,2001,"Hepatitis C, acute",https://ndc.services.cdc.gov/conditions/hepatitis-c-acute/
108,2001,Legionellosis,https://ndc.services.cdc.gov/conditions/legionellosis/
109,2001,Listeriosis,https://ndc.services.cdc.gov/conditions/listeriosis/
110,2001,Lyme disease,https://ndc.services.cdc.gov/conditions/lyme-disease/
111,2001,Malaria,https://ndc.services.cdc.gov/conditions/malaria/
112,2001,Measles,https://ndc.services.cdc.gov/conditions/measles/
113,2001,Meningococcal disease,https://ndc.services.cdc.gov/conditions/meningococcal-disease/
114,2001,Mumps,https://ndc.services.cdc.gov/conditions/mumps/
115,2001,Pertussis,https://ndc.services.cdc.gov/conditions/pertussis/
116,2001,Plague,https://ndc.services.cdc.gov/conditions/plague/
117,2001,"Poliomyelitis, paralytic",https://ndc.services.cdc.gov/conditions/poliomyelitis-paralytic/
118,2001,Psittacosis,https://ndc.services.cdc.gov/conditions/psittacosis/
119,2001,Q fever,https://ndc.services.cdc.gov/conditions/q-fever/
120,2001,"Rabies, animal",https://ndc.services.cdc.gov/conditions/rabies-animal/
121,2001,"Rabies, human",https://ndc.services.cdc.gov/conditions/rabies-human/
122,2001,Rocky Mountain spotted fever,https://ndc.services.cdc.gov/conditions/rocky-mountain-spotted-fever/
123,2001,Rubella,https://ndc.services.cdc.gov/conditions/rubella/
124,2001,"Rubella, congenital syndrome",https://ndc.services.cdc.gov/conditions/rubella-congenital-syndrome/
125,2001,Salmonellosis,https://ndc.services.cdc.gov/conditions/salmonellosis/
126,2001,Shigellosis,https://ndc.services.cdc.gov/conditions/shigellosis/
127,2001,Streptococcal toxic shock syndrome,https://ndc.services.cdc.gov/conditions/streptococcal-toxic-shock-syndrome/
128,2001,"Streptococcus disease, invasive, Group A",https://ndc.services.cdc.gov/conditions/streptococcus-disease-invasive-group-a/
129,2001,"Streptococcus pneumoniae, drug-resistant invasive disease",https://ndc.services.cdc.gov/conditions/streptococcus-pneumoniae-drug-resistant-invasive-disease/
130,2001,"Streptococcus pneumoniae, invasive disease (child, <5 years)",https://ndc.services.cdc.gov/conditions/streptococcus-pneumoniae-invasive-disease-child/
131,2001,Syphilis,https://ndc.services.cdc.gov/conditions/syphilis/
132,2001,Neurosyphilis,https://ndc.services.cdc.gov/conditions/neurosyphilis/
133,2001,"Syphilis, congenital",https://ndc.services.cdc.gov/conditions/congenital-syphilis/
134,2001,"Syphilis, early latent",https://ndc.services.cdc.gov/conditions/syphilis-early-latent/
135,2001,"Syphilis, late latent",https://ndc.services.cdc.gov/conditions/syphilis-late-latent/
136,2001,"Syphilis, late, with clinical manifestations other than neurosyphilis",https://ndc.services.cdc.gov/conditions/syphilis-late-with-clinical-manifestations-other-than-neurosyphilis/
137,2001,"Syphilis, latent",https://ndc.services.cdc.gov/conditions/syphilis-latent/
138,2001,"Syphilis, latent unknown duration",https://ndc.services.cdc.gov/conditions/syphilis-latent-unknown-duration/
139,2001,"Syphilis, primary",https://ndc.services.cdc.gov/conditions/syphilis-primary/
140,2001,"Syphilis, secondary",https://ndc.services.cdc.gov/conditions/syphilis-secondary/
141,2001,Syphilitic stillbirth,https://ndc.services.cdc.gov/conditions/syphilitic-stillbirth/
142,2001,Tetanus,https://ndc.services.cdc.gov/conditions/tetanus/
143,2001,Toxic shock syndrome (other than streptococcal),https://ndc.services.cdc.gov/conditions/toxic-shock-syndrome-other-than-streptococcal/
144,2001,Trichinellosis,https://ndc.services.cdc.gov/conditions/trichinellosis/
145,2001,Tuberculosis,https://ndc.services.cdc.gov/conditions/tuberculosis/
146,2001,Tularemia,https://ndc.services.cdc.gov/conditions/tularemia/
147,2001,Typhoid fever,https://ndc.services.cdc.gov/conditions/typhoid-fever/
148,2001,Yellow fever,https://ndc.services.cdc.gov/conditions/yellow-fever/
149,2002,Acquired immunodeficiency syndrome,https://ndc.services.cdc.gov/conditions/acquired-immunodeficiency-syndrome/
150,2002,Anthrax,https://ndc.services.cdc.gov/conditions/anthrax/
151,2002,Arboviral encephalitis or meningitis,https://ndc.services.cdc.gov/conditions/arboviral-encephalitis-or-meningitis/
152,2002,California serogroup encephalitis/meningitis,https://ndc.services.cdc.gov/conditions/california-serogroup-encephalitis-meningitis/
153,2002,Eastern equine encephalitis/meningitis,https://ndc.services.cdc.gov/conditions/eastern-equine-encephalitis-meningitis/
154,2002,Powassan encephalitis/meningitis,https://ndc.services.cdc.gov/conditions/powassan-encephalitis-meningitis/
155,2002,St. Louis encephalitis/meningitis,https://ndc.services.cdc.gov/conditions/st-louis-encephalitis-meningitis/
156,2002,West Nile encephalitis/meningitis,https://ndc.services.cdc.gov/conditions/west-nile-encephalitis-meningitis/
157,2002,Western equine encephalitis/meningitis,https://ndc.services.cdc.gov/conditions/western-equine-encephalitis-meningitis/
158,2002,Botulism,https://ndc.services.cdc.gov/conditions/botulism/
159,2002,"Botulism, foodborne",https://ndc.services.cdc.gov/conditions/botulism-foodborne/
160,2002,"Botulism, infant",https://ndc.services.cdc.gov/conditions/botulism-infant/
161,2002,"Botulism, other",https://ndc.services.cdc.gov/conditions/botulism-other/
162,2002,"Botulism, wound",https://ndc.services.cdc.gov/conditions/botulism-wound/
163,2002,Brucellosis,https://ndc.services.cdc.gov/conditions/brucellosis/
164,2002,Chancroid,https://ndc.services.cdc.gov/conditions/chancroid/
165,2002,"Chlamydia trachomatis, genital infections",https://ndc.services.cdc.gov/conditions/chlamydia-trachomatis-genital-infections/
166,2002,Cholera,https://ndc.services.cdc.gov/conditions/cholera/
167,2002,Coccidioidomycosis,https://ndc.services.cdc.gov/conditions/coccidioidomycosis/
168,2002,Cryptosporidiosis,https://ndc.services.cdc.gov/conditions/cryptosporidiosis/
169,2002,Cyclosporiasis,https://ndc.services.cdc.gov/conditions/cyclosporiasis/
170,2002,Diphtheria,https://ndc.services.cdc.gov/conditions/diphtheria/
171,2002,Ehrlichiosis,https://ndc.services.cdc.gov/conditions/ehrlichiosis/
172,2002,Human granulocytic ehrlichiosis,https://ndc.services.cdc.gov/conditions/human-granulocytic-ehrlichiosis/
173,2002,Human monocytic ehrlichiosis,https://ndc.services.cdc.gov/conditions/human-monocytic-ehrlichiosis/
174,2002,Other or unspecified human ehrlichiosis,https://ndc.services.cdc.gov/conditions/other-or-unspecified-human-ehrlichiosis/
175,2002,Enterohemorrhagic Escherichia coli,https://ndc.services.cdc.gov/conditions/enterohemorrhagic-escherichia-coli/
176,2002,Giardiasis,https://ndc.services.cdc.gov/conditions/giardiasis/
177,2002,Gonorrhea,https://ndc.services.cdc.gov/conditions/gonorrhea/
178,2002,"Haemophilus influenzae, invasive disease",https://ndc.services.cdc.gov/conditions/haemophilus-influenzae-invasive-disease/
179,2002,Hansen's disease,https://ndc.services.cdc.gov/conditions/hansens-disease/
180,2002,Hantavirus pulmonary syndrome,https://ndc.services.cdc.gov/conditions/hantavirus-pulmonary-syndrome/
181,2002,"Hemolytic uremic syndrome, post-diarrheal",https://ndc.services.cdc.gov/conditions/hemolytic-uremic-syndrome-post-diarrheal/
182,2002,"Hepatitis A, acute",https://ndc.services.cdc.gov/conditions/hepatitis-a-acute/
183,2002,"Hepatitis B, acute",https://ndc.services.cdc.gov/conditions/hepatitis-b-acute-historical-version/
184,2002,"Hepatitis B, perinatal infection",https://ndc.services.cdc.gov/conditions/hepatitis-b-perinatal-virus-infection/
185,2002,"Hepatitis C, acute",https://ndc.services.cdc.gov/conditions/hepatitis-c-acute/
186,2002,Legionellosis,https://ndc.services.cdc.gov/conditions/legionellosis/
187,2002,Listeriosis,https://ndc.services.cdc.gov/conditions/listeriosis/
188,2002,Lyme disease,https://ndc.services.cdc.gov/conditions/lyme-disease/
189,2002,Malaria,https://ndc.services.cdc.gov/conditions/malaria/
190,2002,Measles,https://ndc.services.cdc.gov/conditions/measles/
191,2002,Meningococcal disease,https://ndc.services.cdc.gov/conditions/meningococcal-disease/
192,2002,Mumps,https://ndc.services.cdc.gov/conditions/mumps/
193,2002,Pertussis,https://ndc.services.cdc.gov/conditions/pertussis/
194,2002,Plague,https://ndc.services.cdc.gov/conditions/plague/
195,2002,"Poliomyelitis, paralytic",https://ndc.services.cdc.gov/conditions/poliomyelitis-paralytic/
196,2002,Psittacosis,https://ndc.services.cdc.gov/conditions/psittacosis/
197,2002,Q fever,https://ndc.services.cdc.gov/conditions/q-fever/
198,2002,"Rabies, animal",https://ndc.services.cdc.gov/conditions/rabies-animal/
199,2002,"Rabies, human",https://ndc.services.cdc.gov/conditions/rabies-human/
200,2002,Rocky Mountain spotted fever,https://ndc.services.cdc.gov/conditions/rocky-mountain-spotted-fever/
201,2002,Rubella,https://ndc.services.cdc.gov/conditions/rubella/
202,2002,"Rubella, congenital syndrome",https://ndc.services.cdc.gov/conditions/rubella-congenital-syndrome/
203,2002,Salmonellosis,https://ndc.services.cdc.gov/conditions/salmonellosis/
204,2002,Shigellosis,https://ndc.services.cdc.gov/conditions/shigellosis/
205,2002,Streptococcal toxic shock syndrome,https://ndc.services.cdc.gov/conditions/streptococcal-toxic-shock-syndrome/
206,2002,"Streptococcus disease, invasive, Group A",https://ndc.services.cdc.gov/conditions/streptococcus-disease-invasive-group-a/
207,2002,"Streptococcus pneumoniae, drug-resistant invasive disease",https://ndc.services.cdc.gov/conditions/streptococcus-pneumoniae-drug-resistant-invasive-disease/
208,2002,"Streptococcus pneumoniae, invasive disease (child, <5 years)",https://ndc.services.cdc.gov/conditions/streptococcus-pneumoniae-invasive-disease-child/
209,2002,Syphilis,https://ndc.services.cdc.gov/conditions/syphilis/
210,2002,Neurosyphilis,https://ndc.services.cdc.gov/conditions/neurosyphilis/
211,2002,"Syphilis, congenital",https://ndc.services.cdc.gov/conditions/congenital-syphilis/
212,2002,"Syphilis, early latent",https://ndc.services.cdc.gov/conditions/syphilis-early-latent/
213,2002,"Syphilis, late latent",https://ndc.services.cdc.gov/conditions/syphilis-late-latent/
214,2002,"Syphilis, late, with clinical manifestations other than neurosyphilis",https://ndc.services.cdc.gov/conditions/syphilis-late-with-clinical-manifestations-other-than-neurosyphilis/
215,2002,"Syphilis, latent",https://ndc.services.cdc.gov/conditions/syphilis-latent/
216,2002,"Syphilis, latent unknown duration",https://ndc.services.cdc.gov/conditions/syphilis-latent-unknown-duration/
217,2002,"Syphilis, primary",https://ndc.services.cdc.gov/conditions/syphilis-primary/
218,2002,"Syphilis, secondary",https://ndc.services.cdc.gov/conditions/syphilis-secondary/
219,2002,Syphilitic stillbirth,https://ndc.services.cdc.gov/conditions/syphilitic-stillbirth/
220,2002,Tetanus,https://ndc.services.cdc.gov/conditions/tetanus/
221,2002,Toxic shock syndrome (other than streptococcal),https://ndc.services.cdc.gov/conditions/toxic-shock-syndrome-other-than-streptococcal/
222,2002,Trichinellosis,https://ndc.services.cdc.gov/conditions/trichinellosis/
223,2002,Tuberculosis,https://ndc.services.cdc.gov/conditions/tuberculosis/
224,2002,Tularemia,https://ndc.services.cdc.gov/conditions/tularemia/
225,2002,Typhoid fever,https://ndc.services.cdc.gov/conditions/typhoid-fever/
226,2002,Varicella deaths,https://ndc.services.cdc.gov/conditions/varicella-deaths/
227,2002,Yellow fever,https://ndc.services.cdc.gov/conditions/yellow-fever/
228,2003,Acquired immunodeficiency syndrome,https://ndc.services.cdc.gov/conditions/acquired-immunodeficiency-syndrome/
229,2003,Anthrax,https://ndc.services.cdc.gov/conditions/anthrax/
230,2003,Arboviral encephalitis or meningitis,https://ndc.services.cdc.gov/conditions/arboviral-encephalitis-or-meningitis/
231,2003,California serogroup encephalitis/meningitis,https://ndc.services.cdc.gov/conditions/california-serogroup-encephalitis-meningitis/
232,2003,Eastern equine encephalitis/meningitis,https://ndc.services.cdc.gov/conditions/eastern-equine-encephalitis-meningitis/
233,2003,Powassan encephalitis/meningitis,https://ndc.services.cdc.gov/conditions/powassan-encephalitis-meningitis/
234,2003,St. Louis encephalitis/meningitis,https://ndc.services.cdc.gov/conditions/st-louis-encephalitis-meningitis/
235,2003,West Nile encephalitis/meningitis,https://ndc.services.cdc.gov/conditions/west-nile-encephalitis-meningitis/
236,2003,Western equine encephalitis/meningitis,https://ndc.services.cdc.gov/conditions/western-equine-encephalitis-meningitis/
237,2003,Botulism,https://ndc.services.cdc.gov/conditions/botulism/
238,2003,"Botulism, foodborne",https://ndc.services.cdc.gov/conditions/botulism-foodborne/
239,2003,"Botulism, infant",https://ndc.services.cdc.gov/conditions/botulism-infant/
240,2003,"Botulism, other",https://ndc.services.cdc.gov/conditions/botulism-other/
241,2003,"Botulism, wound",https://ndc.services.cdc.gov/conditions/botulism-wound/
242,2003,Brucellosis,https://ndc.services.cdc.gov/conditions/brucellosis/
243,2003,Chancroid,https://ndc.services.cdc.gov/conditions/chancroid/
244,2003,"Chlamydia trachomatis, genital infections",https://ndc.services.cdc.gov/conditions/chlamydia-trachomatis-genital-infections/
245,2003,Cholera,https://ndc.services.cdc.gov/conditions/cholera/
246,2003,Coccidioidomycosis,https://ndc.services.cdc.gov/conditions/coccidioidomycosis/
247,2003,Cryptosporidiosis,https://ndc.services.cdc.gov/conditions/cryptosporidiosis/
248,2003,Cyclosporiasis,https://ndc.services.cdc.gov/conditions/cyclosporiasis/
249,2003,Diphtheria,https://ndc.services.cdc.gov/conditions/diphtheria/
250,2003,Ehrlichiosis,https://ndc.services.cdc.gov/conditions/ehrlichiosis/
251,2003,Human granulocytic ehrlichiosis,https://ndc.services.cdc.gov/conditions/human-granulocytic-ehrlichiosis/
252,2003,Human monocytic ehrlichiosis,https://ndc.services.cdc.gov/conditions/human-monocytic-ehrlichiosis/
253,2003,Other or unspecified human ehrlichiosis,https://ndc.services.cdc.gov/conditions/other-or-unspecified-human-ehrlichiosis/
254,2003,Enterohemorrhagic Escherichia coli,https://ndc.services.cdc.gov/conditions/enterohemorrhagic-escherichia-coli/
255,2003,Giardiasis,https://ndc.services.cdc.gov/conditions/giardiasis/
256,2003,Gonorrhea,https://ndc.services.cdc.gov/conditions/gonorrhea/
257,2003,"Haemophilus influenzae, invasive disease",https://ndc.services.cdc.gov/conditions/haemophilus-influenzae-invasive-disease/
258,2003,Hansen's disease,https://ndc.services.cdc.gov/conditions/hansens-disease/
259,2003,Hantavirus pulmonary syndrome,https://ndc.services.cdc.gov/conditions/hantavirus-pulmonary-syndrome/
260,2003,"Hemolytic uremic syndrome, post-diarrheal",https://ndc.services.cdc.gov/conditions/hemolytic-uremic-syndrome-post-diarrheal/
261,2003,"Hepatitis A, acute",https://ndc.services.cdc.gov/conditions/hepatitis-a-acute/
262,2003,"Hepatitis B, acute",https://ndc.services.cdc.gov/conditions/hepatitis-b-acute-historical-version/
263,2003,"Hepatitis B, chronic",https://ndc.services.cdc.gov/conditions/hepatitis-b-chronic-historical-version/
264,2003,"Hepatitis B, perinatal infection",https://ndc.services.cdc.gov/conditions/hepatitis-b-perinatal-virus-infection/
265,2003,"Hepatitis C, acute",https://ndc.services.cdc.gov/conditions/hepatitis-c-acute/
266,2003,"Hepatitis C, chronic",https://ndc.services.cdc.gov/conditions/hepatitis-c-chronic/
267,2003,Legionellosis,https://ndc.services.cdc.gov/conditions/legionellosis/
268,2003,Listeriosis,https://ndc.services.cdc.gov/conditions/listeriosis/
269,2003,Lyme disease,https://ndc.services.cdc.gov/conditions/lyme-disease/
270,2003,Malaria,https://ndc.services.cdc.gov/conditions/malaria/
271,2003,Measles,https://ndc.services.cdc.gov/conditions/measles/
272,2003,Meningococcal disease,https://ndc.services.cdc.gov/conditions/meningococcal-disease/
273,2003,Mumps,https://ndc.services.cdc.gov/conditions/mumps/
274,2003,Pertussis,https://ndc.services.cdc.gov/conditions/pertussis/
275,2003,Plague,https://ndc.services.cdc.gov/conditions/plague/
276,2003,"Poliomyelitis, paralytic",https://ndc.services.cdc.gov/conditions/poliomyelitis-paralytic/
277,2003,Psittacosis,https://ndc.services.cdc.gov/conditions/psittacosis/
278,2003,Q fever,https://ndc.services.cdc.gov/conditions/q-fever/
279,2003,"Rabies, animal",https://ndc.services.cdc.gov/conditions/rabies-animal/
280,2003,"Rabies, human",https://ndc.services.cdc.gov/conditions/rabies-human/
281,2003,Rocky Mountain spotted fever,https://ndc.services.cdc.gov/conditions/rocky-mountain-spotted-fever/
282,2003,Rubella,https://ndc.services.cdc.gov/conditions/rubella/
283,2003,"Rubella, congenital syndrome",https://ndc.services.cdc.gov/conditions/rubella-congenital-syndrome/
284,2003,Salmonellosis,https://ndc.services.cdc.gov/conditions/salmonellosis/
285,2003,Shigellosis,https://ndc.services.cdc.gov/conditions/shigellosis/
286,2003,Streptococcal toxic shock syndrome,https://ndc.services.cdc.gov/conditions/streptococcal-toxic-shock-syndrome/
287,2003,"Streptococcus disease, invasive, Group A",https://ndc.services.cdc.gov/conditions/streptococcus-disease-invasive-group-a/
288,2003,"Streptococcus pneumoniae, drug-resistant invasive disease",https://ndc.services.cdc.gov/conditions/streptococcus-pneumoniae-drug-resistant-invasive-disease/
289,2003,"Streptococcus pneumoniae, invasive disease (child, <5 years)",https://ndc.services.cdc.gov/conditions/streptococcus-pneumoniae-invasive-disease-child/
290,2003,Syphilis,https://ndc.services.cdc.gov/conditions/syphilis/
291,2003,Neurosyphilis,https://ndc.services.cdc.gov/conditions/neurosyphilis/
292,2003,"Syphilis, congenital",https://ndc.services.cdc.gov/conditions/congenital-syphilis/
293,2003,"Syphilis, early latent",https://ndc.services.cdc.gov/conditions/syphilis-early-latent/
294,2003,"Syphilis, late latent",https://ndc.services.cdc.gov/conditions/syphilis-late-latent/
295,2003,"Syphilis, late, with clinical manifestations other than neurosyphilis",https://ndc.services.cdc.gov/conditions/syphilis-late-with-clinical-manifestations-other-than-neurosyphilis/
296,2003,"Syphilis, latent",https://ndc.services.cdc.gov/conditions/syphilis-latent/
